11.902166366577148 60.900787353515625
10.219123840332031 10.236961364746094
9.920608520507812 9.921411514282227
9.834158897399902 9.948716163635254
9.81330394744873 9.827906608581543
9.784886360168457 9.916818618774414
9.67971420288086 9.857645034790039
9.626907348632812 9.8810396194458
9.616878509521484 9.897764205932617
9.363447189331055 9.67900562286377
9.322490692138672 9.385923385620117
9.308409690856934 9.704758644104004
9.24541187286377 9.292806625366211
9.154224395751953 9.96610164642334
9.140121459960938 9.162912368774414
8.915261268615723 9.191740036010742
8.83056354522705 8.837347984313965
8.516286849975586 8.659768104553223
8.50897216796875 8.788628578186035
8.443704605102539 8.719252586364746
8.410038948059082 8.53366470336914
8.383572578430176 8.763510704040527
8.33054256439209 26.719263076782227
2.333900213241577 2.5829288959503174
2.327249526977539 2.6883530616760254
1.8623788356781006 2.24977445602417
1.8096303939819336 2.2757556438446045
1.36673104763031 1.4273055791854858
1.3625932931900024 1.6055837869644165
1.1678975820541382 1.368821382522583
0.9816632866859436 1.0980054140090942
